Group,Term,Seq,WBCValue,LYMValue,MONValue,GRAValue,HGBValue,MCHValue,MCHCValue,RBCValue,MCVValue,HCTValue,RDWValue,RDWaValue,PLTValue,MPVValue,Glucose,Weight Pct,EAE score,ID
NT,-1,964,29.4,26.3,1.2,1.9,17.9,16.8,40.8,10.62,41.3,43.9,16.3,29.3,598,5.4,133,100,0,NT 1R 
NT,-1,968,22.9,19.8,0.9,2.2,16,16.7,39.7,9.58,42.1,40.4,15.8,28.9,244,5.7,146,100,0,NT 2R
NT,-1,965,24.4,22.3,0.7,1.4,15.9,16.9,39.5,9.4,42.7,40.2,16.3,30,458,5.5,152,100,0,NT 3R
NT,-1,966,26.8,23.1,1.1,2.6,16.3,16.8,39.9,9.73,42.2,41,16.3,29.3,549,5.4,173,100,0,NT 1L
NT,-1,967,26.3,23.6,0.8,1.9,15.9,16.7,39.7,9.54,42,40.1,16.2,29.2,408,5.7,138,100,0,NT 2L
NT,-1,961,32.2,28.8,1.1,2.3,16.2,16.7,39.2,9.71,42.5,41.2,16.1,29.5,436,5.7,128,100,0,NT 1R1L
NT,-1,963,23,20.4,0.8,1.8,15.3,16.7,39.6,9.15,42.2,38.6,16.1,28.9,415,5.5,144,100,0,NT 2R1L
NT,-1,969,29.5,25.2,1.2,3.1,17.3,16.6,39.9,10.4,41.8,43.4,16.3,29.8,314,5.5,137,100,0,NT 1R2L
NT,-1,960,23.3,20.8,0.8,1.7,13,16.8,37.9,7.75,44.4,34.4,16.3,30.3,229,5.6,149,100,0,NT 2R2L
NT,-1,962,31.3,27.2,1.2,2.9,14.9,16.7,39.4,8.95,42.3,37.9,16,28.5,319,5.7,150,100,0,NT Full 
HICT,-1,977,9.1,8.3,0.2,0.6,7.6,18.3,39,4.17,46.9,19.5,15.6,28.9,99,5.9,146,100,0,HICT 1R
HICT,-1,978,25.7,18.6,3,4.1,15.6,16.5,38.7,9.46,42.6,40.4,16,29.4,408,5.6,160,100,0,HICT 2R
HICT,-1,974,22.4,19.8,0.6,2,14.1,16.7,38.8,8.44,43,36.3,15.9,28.9,213,5.7,154,100,0,HICT 1L
HICT,-1,975,25,22.2,0.8,2,16,16.7,38.8,9.6,43.1,41.4,15.7,29.9,432,5.9,143,100,0,HICT 2L
HICT,-1,979,22,20,0.6,1.4,15.7,16.8,38.7,9.31,43.5,40.5,16.6,30.9,458,5.6,166,100,0,HICT 1R1L 
HICT,-1,976,28.5,25.2,0.9,2.4,16.5,16.4,39.2,10.05,41.8,42.1,16.2,29.3,448,5.4,161,100,0,HICT 2R1L 
HICT,-1,972,21.2,19.6,0.5,1.1,11.5,16.8,37.8,6.8,44.6,30.4,15.7,29.3,112,5.4,109,100,0,HICT 1R2L  
HICT,-1,973,24.1,21.6,0.8,1.7,15.9,16.6,38.6,9.54,43,41.1,16.3,30,473,5.8,143,100,0,HICT 2R2L 
HICT,-1,980,18,16.1,0.5,1.4,13.3,16.7,38.3,7.93,43.7,34.7,15.8,29.1,241,5.6,130,100,0,HICT Full 
NT,0,994,19,15.7,1,2.3,14.9,16.4,39.2,9.13,41.8,38.2,15.7,27.7,405,5.7,121,100,0,NT 1R 
NT,0,991,17.9,14.7,0.7,2.5,12.8,16,37.6,8.02,42.6,34.1,15.2,27.1,201,5.6,115,100,0,NT 2R 
NT,0,993,17,14.1,0.7,2.2,13.3,16.6,38.3,8.01,43.4,34.8,15,27.7,252,5.8,113,100,0,NT 3R 
NT,0,997,14,11.9,0.7,1.4,12.4,16.7,38.5,7.43,43.5,32.3,15.8,28.3,287,5.6,130,100,0,NT 1L 
NT,0,,,,,,,,,,,,,,,,115,100,0,NT 2L
NT,0,998,16.5,13.6,0.8,2.1,15.1,16.5,39.4,9.18,41.9,38.5,15.3,27.4,273,5.8,142,100,0,NT 1R1L
NT,0,995,15.9,13.2,0.7,2,16.1,16.8,40.5,9.59,41.4,39.7,15.7,27.8,384,5.7,107,100,0,NT 2R1L 
NT,0,996,21,17,1,3,15.6,16.6,39.6,9.44,41.8,39.5,15.9,28.5,372,5.5,107,100,0,NT 1R2L
NT,0,990,16.7,14.3,0.7,1.7,15.5,16.3,38.9,9.5,41.8,39.8,15.5,27.8,418,5.7,117,100,0,NT 2R2L
NT,0,992,13.4,11.1,0.5,1.8,9.6,16.1,36.9,5.97,43.5,26,15.3,26.9,108,5.9,118,100,0,NT Full 
HICT,0,1007,10,8.1,0.4,1.5,13.1,16.7,38.4,7.81,43.6,34.1,15.8,28.8,278,5.9,116,100,0,HICT 1R 
HICT,0,1005,17.5,14,0.8,2.7,15.8,17,40.2,9.3,42.4,39.4,15.8,29,233,5.8,149,100,0,HICT 2R
